,District,Founding President,Charter Date,President,Club Meeting,Club website
0,Bayern-Süd,Dr. Lickleder,12.07.1980,Christian Hartel,1. Donnerstag im Monat um 19.30 UhrHotel PostKapellplatz 284503 Altötting,http://www.lc-altoetting-burghausen.de
1,Bayern-Süd,Dr. Duisberg+,20.04.1963,Heinrich Reichel,"19.00 Uhr, am 1 und 3. Mittwoch des MonatsMargarethenhofGut Steinberg 1-383666 Marienstein/Waakirchen",http://www.lionsclub-am-tegernsee.de
2,Bayern-Süd,Hornig,06.12.1997,Gaby Ammon,"2. u. 4. Donnerstag  19.30 UhrACHAT Premium Messe-München (Schreiberhof) , 85609 AschheimErdinger Str. 285609 Aschheim",http://www.lions-club-aschheim.eu
3,Bayern-Süd,Mannweiler+,18.10.1958,Armin Zürn,19:00 Uhr (zweiter Dienstag im Monat)Hotel LeonardoLangenmantelstr. 21 - 2386153 Augsburg,http://augsburg.lions.de
4,Bayern-Süd,Segmüller,05.06.1999,Siegbert Tempelhof,3. Mi 19.30Hotel Maximilian'sMaximilianstr. 4086150 Augsburg,http://www.lions-augsburg.de
5,Bayern-Süd,Philipp Blobel,30.01.2024,Philipp Blobel,2. Donnerstag im Monat 19:00 UhrAnna CafeIm Annahof 486150 Augsburg,
6,Bayern-Süd,Dr. Glanz,05.05.1973,Markus Beck,2. Montag 19.00 Uhrim Kurhaus GöggingenParktheaterKlausenberg 686199 Augsburg,http://www.lions-raetia.de
7,Bayern-Süd,Krauß,01.05.1993,Wilhelm Flach,2. und 4. Donnerstag im MonatGasthof zur PostStadtgasse 187727 Babenhausen (Schwaben),
8,Bayern-Süd,Dr. Walter Müller,24.04.2004,Walter Müller,1. Mi im Monat um 19.30 UhrHotel JohannisbadRosenheimer Str. 4583043 Bad Aibling,http://www.lions-badaibling.de
9,Bayern-Süd,Otmar Steßl,16.06.2007,Petra Fischer-Rados,"1. und 3. Mittwoch im Monat, 19.30 UhrEndorfer HofKirchplatz 583093 Bad Endorf",http://www.lions.de/web/lc-bad-endorf-chiemgau
10,Bayern-Süd,Dr. Gahbauer+,10.05.1969,Matthias Wittmann,19.30 UhrHotel KlosterhofSteilhofweg 1983457 Bayerisch Gmain,https://lions-reichenhall.de
11,Bayern-Süd,Hartmann+,20.10.1973,Rudolf Huber,"2. u. 4. Mo. 19.30T. (08041) 78110""Das Schlössl"",Schützenstr. 2383646 Bad Tölz",http://www.lc-bad-toelz.de
12,Bayern-Süd,Vogt,02.05.1964,Carsten Krug,"1. u. 3. Donnerstag 19:30Steigenberger Hotel, der SonnenhofHermann Aust Strasse 1186825 Bad Wörishofen",http://www.lions-bw-mn.de
